ds,yhat,yhat_lower,yhat_upper
2018-06-18,7158.921802366278,-5069.7539588495,19032.23516557742
2018-06-19,6912.634507605778,-5114.326519771247,18494.594400334772
2018-06-20,6887.273096565944,-5333.844420933382,19168.44357649551
2018-06-21,6591.514696359872,-5785.863501882792,19085.733494341926
2018-06-22,6448.896705198828,-5091.176459557552,19390.196924555166
2018-06-23,6281.218478640611,-5817.833647493577,18050.498690715733
2018-06-24,6153.098726198886,-6361.169950841828,18027.071422171743
2018-06-25,6137.583892461251,-7256.7138233931055,17637.08029181591
2018-06-26,5966.980209073321,-6946.533452324185,18381.383663274315
2018-06-27,6031.870255329229,-6464.619571276102,17880.656074598646
2018-06-28,5839.370011428553,-6654.498771538378,17400.158205309126
2018-06-29,5811.133220292355,-6372.644636845702,18169.713251364883
2018-06-30,5766.804793720341,-6266.9794342805035,17870.16217467048
2018-07-01,5768.6368094100035,-7169.607756311451,18861.761231294902
2018-07-02,5887.160636405664,-6231.802317842943,18172.230075089385
2018-07-03,5852.086011346002,-5655.11231136861,17280.145929518327
2018-07-04,6051.385967114372,-6402.203930062676,17726.792180878212
2018-07-05,5989.62164649004,-6297.610073631271,18610.961596199242
2018-07-06,6086.011906660441,-5575.192365814447,17649.643478210237
2018-07-07,6157.947636739105,-6064.842141849377,18707.670661814856
2018-07-08,6265.66266929114,-7146.698481178892,17720.775622107925
2018-07-09,6477.953352812482,-5070.081531560443,18337.639750301296
2018-07-10,6523.116372535433,-5351.758610557935,18693.659014221645
2018-07-11,6788.062755133155,-5810.505227193317,19159.645612498127
2018-07-12,6776.661418048221,-5637.832586812679,18978.690383318142
2018-07-13,6907.816807804869,-5228.224379674393,19450.403400339117
2018-07-14,6998.980505330294,-5193.381097591044,20123.130935093213
2018-07-15,7110.8103584564615,-4604.450246692003,19250.13379282213
2018-07-16,7312.862740424199,-4724.650701717507,19827.83604612374
2018-07-17,7334.502462348274,-4456.140850721887,18932.18895527485
2018-07-18,7563.97530145973,-4331.088885500699,19588.45431500617
2018-07-19,7506.704876061544,-4747.2793711646755,20059.40668484719
2018-07-20,7583.318507079318,-5692.273827252017,19544.574135555653
2018-07-21,7613.103577006079,-4552.711219838137,20163.612597585547
2018-07-22,7658.608249364022,-4132.2689162297775,20266.827484830545
2018-07-23,7791.280927389361,-3862.533839716137,20749.21973295465
2018-07-24,7742.3206077098785,-4026.2670700503413,19165.046598154622
2018-07-25,7901.698809847571,-4773.443789159489,20666.972157570533
2018-07-26,7776.409280067157,-4352.428139487219,20286.948845666157
2018-07-27,7788.452858184906,-4168.646670766891,19746.93363512774
2018-07-28,7758.260150624293,-4580.967122332703,19246.958913866216
2018-07-29,7749.266765628707,-3742.7626469679913,20216.083683437737
2018-07-30,7833.536118070483,-4713.089452027272,20494.67036919332
2018-07-31,7742.602308207436,-4170.778603210284,20002.495481289778
2018-08-01,7866.493816121987,-4141.198397497111,20487.693095003095
2018-08-02,7711.993984959522,-4966.265832328045,20061.4871760978
2018-08-03,7700.645179798843,-3976.9642872685104,20692.89931161318
2018-08-04,7652.198505670932,-5611.188251324789,19361.900713680658
2018-08-05,7629.2228488572455,-3541.161319839303,19477.013295445642
2018-08-06,7702.767058038155,-3816.5114192339643,19667.547515401628
2018-08-07,7603.2464183804,-4666.048436342093,19672.014825913317
2018-08-08,7719.512691941138,-4969.840417797847,19275.67118153762
2018-08-09,7557.162158612679,-4950.6220695295915,20312.192100396638
2018-08-10,7536.586983378211,-5442.505156581134,20262.955683278917
2018-08-11,7476.470258820372,-5288.971443329395,19993.556024915124
2018-08-12,7438.437026505363,-5668.45193321417,20189.560235794343
2018-08-13,7492.753752207275,-4663.748133218894,19792.66791902189
2018-08-14,7369.246226388936,-4339.185130634967,19711.772004677492
2018-08-15,7456.394177267686,-5578.500040376369,19275.217156218998
2018-08-16,7259.656269769095,-5512.964074657331,19808.198529463294
2018-08-17,7199.530302729364,-4487.285625639295,19734.928431947235
2018-08-18,7095.048701927441,-5015.120394378595,19690.1236397277
2018-08-19,7008.421629675363,-4959.984760569949,18846.706432717594
2018-08-20,7010.720469518347,-5573.816024303355,19175.60725425767
2018-08-21,6832.772197338329,-6238.8523035186945,19525.58539643576
2018-08-22,6864.223704230203,-5758.959158135505,19611.81558725228
2018-08-23,6611.830735264235,-5420.725534759216,18863.03098625848
2018-08-24,6497.477428122082,-5516.141948444514,19140.539237600344
2018-08-25,6341.627864270376,-5819.6529970416495,17990.52742054805
2018-08-26,6207.923370142495,-6019.937082555702,19151.753590757
2018-08-27,6168.819800639993,-6371.632828811827,17557.304217523706
2018-08-28,5956.436800500661,-5156.551001295678,18188.020661868424
2018-08-29,5961.579557215126,-6101.33288531586,18630.740147746335
2018-08-30,5691.989076537194,-7423.06699371771,18454.991624430186
2018-08-31,5570.328207475219,-6048.994359225485,17381.597463683862
2018-09-01,5417.605909500637,-6634.786891695748,17350.536324908324
2018-09-02,5297.754383110412,-6781.803901704504,17926.489340543343
2018-09-03,5283.2539557665,-7709.902369065291,17954.908901098883
2018-09-04,5105.978134135741,-7236.0851561650525,17481.614137808807
